Date,Value,"Statut","Qualification","Méthode","Continuité"
2020-08-01T00:00:00.000Z,"748","16",20,10,0
2020-08-02T00:00:00.000Z,"1820","16",20,10,0
2020-08-03T00:00:00.000Z,"1230","16",20,10,0
2020-08-04T00:00:00.000Z,"986","16",20,10,0
2020-08-05T00:00:00.000Z,"898","16",20,10,0
2020-08-06T00:00:00.000Z,"776","16",20,10,0
2020-08-07T00:00:00.000Z,"889","16",20,10,0
2020-08-08T00:00:00.000Z,"796","16",20,10,0
2020-08-09T00:00:00.000Z,"724","16",20,10,0
2020-08-10T00:00:00.000Z,"917","16",20,10,0
2020-08-11T00:00:00.000Z,"989","16",20,10,0
2020-08-12T00:00:00.000Z,"882","16",20,10,0
2020-08-13T00:00:00.000Z,"1850","16",20,10,0
2020-08-14T00:00:00.000Z,"1560","16",20,10,0
2020-08-15T00:00:00.000Z,"1260","16",20,10,0
2020-08-16T00:00:00.000Z,"1160","16",20,10,0
2020-08-17T00:00:00.000Z,"1750","16",20,10,0
2020-08-18T00:00:00.000Z,"1160","16",20,10,0
2020-08-19T00:00:00.000Z,"896","16",20,10,0
2020-08-20T00:00:00.000Z,"796","16",20,10,0
2020-08-21T00:00:00.000Z,"657","16",20,10,0
2020-08-22T00:00:00.000Z,"741","16",20,10,0
2020-08-23T00:00:00.000Z,"1160","16",20,10,0
2020-08-24T00:00:00.000Z,"808","16",20,10,0
2020-08-25T00:00:00.000Z,"790","16",20,10,0
2020-08-26T00:00:00.000Z,"630","16",20,10,0
2020-08-27T00:00:00.000Z,"645","16",20,10,0
2020-08-28T00:00:00.000Z,"638","16",20,10,0
2020-08-29T00:00:00.000Z,"681","16",20,10,0
2020-08-30T00:00:00.000Z,"820","16",20,10,0
2020-08-31T00:00:00.000Z,"660","16",20,10,0
2020-09-01T00:00:00.000Z,"616","16",20,10,0
2020-09-02T00:00:00.000Z,"645","16",20,10,0
2020-09-03T00:00:00.000Z,"561","16",20,10,0
2020-09-04T00:00:00.000Z,"538","16",20,10,0
2020-09-05T00:00:00.000Z,"559","16",20,10,0
2020-09-06T00:00:00.000Z,"496","16",20,10,0
2020-09-07T00:00:00.000Z,"495","16",20,10,0
2020-09-08T00:00:00.000Z,"550","16",20,10,0
2020-09-09T00:00:00.000Z,"407","16",20,10,0
2020-09-10T00:00:00.000Z,"385","16",20,10,0
2020-09-11T00:00:00.000Z,"429","16",20,10,0
2020-09-12T00:00:00.000Z,"399","16",20,10,0
2020-09-13T00:00:00.000Z,"347","16",20,10,0
2020-09-14T00:00:00.000Z,"310","16",20,10,0
2020-09-15T00:00:00.000Z,"316","16",20,10,0
2020-09-16T00:00:00.000Z,"289","16",20,10,0
2020-09-17T00:00:00.000Z,"289","16",20,10,0
2020-09-18T00:00:00.000Z,"290","16",20,10,0
2020-09-19T00:00:00.000Z,"375","16",20,10,0
2020-09-20T00:00:00.000Z,"555","16",20,10,0
2020-09-21T00:00:00.000Z,"873","16",20,10,0
2020-09-22T00:00:00.000Z,"943","16",20,10,0
2020-09-23T00:00:00.000Z,"948","16",20,10,0
2020-09-24T00:00:00.000Z,"790","16",20,10,0
2020-09-25T00:00:00.000Z,"773","16",20,10,0
2020-09-26T00:00:00.000Z,"1150","16",20,10,0
2020-09-27T00:00:00.000Z,"1360","16",20,10,0
2020-09-28T00:00:00.000Z,"2850","16",20,10,0
2020-09-29T00:00:00.000Z,"2580","16",20,10,0
2020-09-30T00:00:00.000Z,"1510","16",20,10,0
2020-10-01T00:00:00.000Z,"1260","16",20,10,0
2020-10-02T00:00:00.000Z,"1720","16",20,10,0
2020-10-03T00:00:00.000Z,"7940","16",20,10,0
2020-10-04T00:00:00.000Z,"2980","16",20,10,0
2020-10-05T00:00:00.000Z,"2080","16",20,10,0
2020-10-06T00:00:00.000Z,"1770","16",20,10,0
2020-10-07T00:00:00.000Z,"1750","16",20,10,0
2020-10-08T00:00:00.000Z,"1970","16",20,10,0
2020-10-09T00:00:00.000Z,"2190","16",20,10,0
2020-10-10T00:00:00.000Z,"1510","16",20,10,0
2020-10-11T00:00:00.000Z,"1410","16",20,10,0
2020-10-12T00:00:00.000Z,"1540","16",20,10,0
2020-10-13T00:00:00.000Z,"1810","16",20,10,0
2020-10-14T00:00:00.000Z,"1730","16",20,10,0
2020-10-15T00:00:00.000Z,"1960","16",20,10,0
2020-10-16T00:00:00.000Z,"1810","16",20,10,0
2020-10-17T00:00:00.000Z,"1750","16",20,10,0
2020-10-18T00:00:00.000Z,"1940","16",20,10,0
2020-10-19T00:00:00.000Z,"1360","16",20,10,0
2020-10-20T00:00:00.000Z,"1470","16",20,10,0
2020-10-21T00:00:00.000Z,"1220","16",20,10,0
2020-10-22T00:00:00.000Z,"1270","16",20,10,0
2020-10-23T00:00:00.000Z,"1350","16",20,10,0
2020-10-24T00:00:00.000Z,"2110","16",20,10,0
2020-10-25T00:00:00.000Z,"1790","16",20,10,0
2020-10-26T00:00:00.000Z,"4810","16",20,10,0
2020-10-27T00:00:00.000Z,"2920","16",20,10,0
2020-10-28T00:00:00.000Z,"3530","16",20,10,0
2020-10-29T00:00:00.000Z,"2400","16",20,10,0
2020-10-30T00:00:00.000Z,"1970","16",20,10,0
2020-10-31T00:00:00.000Z,"2290","16",20,10,0
2020-11-01T00:00:00.000Z,"1650","16",20,10,0
2020-11-02T00:00:00.000Z,"1970","16",20,10,0
2020-11-03T00:00:00.000Z,"1980","16",20,10,0
2020-11-04T00:00:00.000Z,"2470","16",20,10,0
2020-11-05T00:00:00.000Z,"2270","16",20,10,0
2020-11-06T00:00:00.000Z,"2020","16",20,10,0
2020-11-07T00:00:00.000Z,"1820","16",20,10,0
2020-11-08T00:00:00.000Z,"1250","16",20,10,0
2020-11-09T00:00:00.000Z,"2230","16",20,10,0
2020-11-10T00:00:00.000Z,"2100","16",20,10,0
2020-11-11T00:00:00.000Z,"1880","16",20,10,0
2020-11-12T00:00:00.000Z,"1760","16",20,10,0
2020-11-13T00:00:00.000Z,"1840","16",20,10,0
2020-11-14T00:00:00.000Z,"1640","16",20,10,0
2020-11-15T00:00:00.000Z,"1040","16",20,10,0
2020-11-16T00:00:00.000Z,"2290","16",20,10,0
2020-11-17T00:00:00.000Z,"1890","16",20,10,0
2020-11-18T00:00:00.000Z,"1500","16",20,10,0
2020-11-19T00:00:00.000Z,"1660","16",20,10,0
2020-11-20T00:00:00.000Z,"1590","16",20,10,0
